"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
0.786271440708183,0.0292186163303053,0.235027918778266,0.2565838057377,NA,"ENSG00000279791.1","AC018892.3","not_deg"
3482.35946839604,-0.102939082502912,0.100953870721649,0.25669140265852,0.50807501567318,"ENSG00000154001.14","PPP2R5E","not_deg"
29.7767736789742,0.136789166787967,0.227461022140343,0.256746005285243,0.50807501567318,"ENSG00000196787.3","H2AC11","not_deg"
1469.80463234953,-0.0819764795503668,0.0767063246288897,0.256748479413645,0.50807501567318,"ENSG00000135945.10","REV1","not_deg"
1133.65208529579,-0.0971500475884197,0.0939942544231269,0.256830227507427,0.50810086861146,"ENSG00000157349.17","DDX19B","not_deg"
1.65615641683339,-0.0385537403696316,0.236095589307779,0.256860697318735,NA,"ENSG00000227964.1","LINC01429","not_deg"
11604.6702770654,0.0834628101778549,0.0779911728604341,0.256882412756983,0.50810086861146,"ENSG00000167004.13","PDIA3","not_deg"
14.7347699383128,0.119160250914838,0.240060509436009,0.256892956284266,0.50810086861146,"ENSG00000159588.15","CCDC17","not_deg"
1328.04958446843,-0.106639828077199,0.105713449047095,0.256909729135453,0.50810086861146,"ENSG00000137547.9","MRPL15","not_deg"
157.909531039134,0.135207503441589,0.153520960608436,0.256963101260288,0.50810086861146,"ENSG00000278619.5","MRM1","not_deg"
12.9052801891204,0.109549512389134,0.241973607297053,0.256963416592929,0.50810086861146,"ENSG00000147059.8","SPIN2A","not_deg"
162.234345472242,0.144289766331129,0.18554401557958,0.256971242907205,0.50810086861146,"ENSG00000030419.16","IKZF2","not_deg"
27.1832021533542,0.119354877991853,0.239826319017167,0.257004969412704,0.508108321040783,"ENSG00000115844.11","DLX2","not_deg"
4.3789018178569,0.0715620328338433,0.240212555000086,0.257113881889588,0.508204580819556,"ENSG00000280543.1","ASAP1-IT2","not_deg"
1094.69868801284,-0.133773003645129,0.1511903825362,0.257147109809442,0.508204580819556,"ENSG00000154222.15","CC2D1B","not_deg"
9.07143351669662,-0.0960294237218936,0.24220632381773,0.25715320433366,0.508204580819556,"ENSG00000143552.9","NUP210L","not_deg"
4.1207669488975,-0.0675705698347364,0.239776911998172,0.257182392925939,0.508204580819556,"ENSG00000171786.6","NHLH1","not_deg"
9241.69415264934,0.140381207154143,0.226518849119657,0.257203473955255,0.508204580819556,"ENSG00000213741.11","RPS29","not_deg"
2.64134645524022,0.0591541478715938,0.238560819166567,0.257219035407341,NA,"ENSG00000223382.5","LINC01778","not_deg"
3371.84567722722,-0.122701255304938,0.129548672121873,0.257237418840783,0.508212447403439,"ENSG00000076108.12","BAZ2A","not_deg"
6.40527772715083,-0.0732281425202243,0.240434408823878,0.257292097059645,0.508226861881976,"ENSG00000132470.14","ITGB4","not_deg"
28.302611088468,-0.127621550549576,0.235273675228418,0.257304643769856,0.508226861881976,"ENSG00000254417.1","LINC02584","not_deg"
1817.40281710649,-0.108459217229383,0.107218071605037,0.257359140701917,0.508231741303083,"ENSG00000198642.7","KLHL9","not_deg"
106.806919103699,-0.139229907148079,0.165337657757838,0.257378073348479,0.508231741303083,"ENSG00000106868.17","SUSD1","not_deg"
11.2994884336646,-0.110217595043048,0.241424677523309,0.257397008301013,0.508231741303083,"ENSG00000188375.5","H3-5","not_deg"
42.6577574410688,-0.142817779820505,0.211491594504788,0.25745697190369,0.508267514507293,"ENSG00000263786.1","AC022211.1","not_deg"
