"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS",15,-0.831883253498525,-1.64753337240841,0.0159562936505581,0.348837592222547,0.331371304487868,871,"tags=40%, list=5%, signal=38%","TERT/NOL8/RAN/UTP25/NVL/GLUL"
"GOBP_RESPONSE_TO_UV_A","GOBP_RESPONSE_TO_UV_A",10,0.864033589047509,1.58928399791904,0.0158156743198647,0.348837592222547,0.331371304487868,553,"tags=20%, list=3%, signal=19%","MMP2/TIMP1"
"GOBP_SENSORY_PERCEPTION","GOBP_SENSORY_PERCEPTION",263,0.521854884791954,1.46387765728577,0.0157843659586862,0.348837592222547,0.331371304487868,880,"tags=11%, list=5%, signal=11%","PTGES/DHRS3/SOBP/COL1A1/TFAP2A/ATP6V0A4/DRD2/SLITRK6/COL18A1/EYA1/SPRY2/CLN8/OPA3/EML2/NLGN2/GRIK2/HMCN1/PTGS2/MMP24/NPY1R/GRIN2A/LAMB2/CDKN1B/BBS2/PDZD7/WFS1/ALOXE3/HOXA1/RGS9/ROR1"
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION",72,0.692496123017353,1.64729275970856,0.0162025541297523,0.352484976607062,0.334836064446119,100,"tags=7%, list=1%, signal=7%","HLA-DRB1/CD74/PPARA/RUNX3/BTN2A2"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",108,0.618284942732992,1.54988193023671,0.0163728234044884,0.354451659849362,0.33670427591772,54,"tags=5%, list=0%, signal=5%","HLA-DRB1/HLA-E/WNT5A/PAK3/HLA-F"
"GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",26,0.822436753595072,1.73558109218739,0.0167715772084818,0.35957613358088,0.341572167403863,592,"tags=19%, list=3%, signal=19%","MFSD12/WNT5A/ATP7A/SLC7A11/SNCA"
"GOBP_RESPONSE_TO_INTERFERON_GAMMA","GOBP_RESPONSE_TO_INTERFERON_GAMMA",85,0.636487931112439,1.53264614382468,0.0167383661645046,0.35957613358088,0.341572167403863,109,"tags=6%, list=1%, signal=6%","HLA-DPA1/CD74/CIITA/WNT5A/KYNU"
"GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY",22,0.856317424891949,1.75596615341424,0.0168720058145206,0.359990200984819,0.34196550246536,901,"tags=27%, list=5%, signal=26%","HLA-E/HLA-B/HLA-F/HLA-A/STAT5B/CD96"
"GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS",11,0.884614578368179,1.64269133980539,0.0171656127482846,0.361874917421174,0.343755851206519,116,"tags=18%, list=1%, signal=18%","EGR1/IGF1R"
"GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE",111,0.62027125091837,1.56206551180261,0.017204958894968,0.361874917421174,0.343755851206519,419,"tags=12%, list=2%, signal=11%","HLA-DRB1/CD74/DRD2/TGFB1/ACTA2/NDRG4/SPRY2/TNFRSF11A/NRP1/NOTCH2/APP/GATA4/ABCA7"
